# Matter power spectrum P(k) at redshift z=0
# for k=1.04206e-05 to 5.30492 h/Mpc,
# number of wavenumbers equal to 556
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.372334271023e-02       1.423659341102e+04 
       4.397422064162e-02       1.416025523222e+04 
       4.422979361595e-02       1.408372902203e+04 
       4.449032589725e-02       1.400691445371e+04 
       4.475610311515e-02       1.393013581488e+04 
       4.502743456867e-02       1.385276992767e+04 
       4.530465584204e-02       1.377526048742e+04 
       4.558813178310e-02       1.369756775132e+04 
       4.587825990516e-02       1.361962930147e+04 
       4.617547428461e-02       1.354102078873e+04 
       4.648025004136e-02       1.346221936325e+04 
       4.679310850673e-02       1.338303173698e+04 
       4.711462320573e-02       1.330319914017e+04 
       4.744542680759e-02       1.322267592306e+04 
       4.778621923240e-02       1.314226190562e+04 
       4.813777714408e-02       1.306085190194e+04 
       4.850096511295e-02       1.297860820336e+04 
       4.887674879782e-02       1.289547685960e+04 
       4.926621058231e-02       1.281185112313e+04 
       4.967056820691e-02       1.272744987479e+04 
       5.009119707467e-02       1.264187014067e+04 
       5.052965708180e-02       1.255533453254e+04 
       5.098772504579e-02       1.246749736931e+04 
       5.146743408517e-02       1.237854404245e+04 
       5.197112166251e-02       1.228830516396e+04 
       5.250148845152e-02       1.219605030646e+04 
       5.306167074670e-02       1.210206172414e+04 
       5.365532980581e-02       1.200587160608e+04 
       5.428676228941e-02       1.190685444457e+04 
       5.496103676842e-02       1.180509491715e+04 
       5.568416193294e-02       1.169978824115e+04 
       5.646329224261e-02       1.159046083034e+04 
       5.730697544694e-02       1.147629204455e+04 
       5.822544195728e-02       1.135620245432e+04 
       5.923092522564e-02       1.122880957664e+04 
       6.033797935551e-02       1.109122864761e+04 
       6.156371606481e-02       1.094282946717e+04 
       6.292780638979e-02       1.077871259816e+04 
       6.445197721567e-02       1.059450474636e+04 
       6.615860384104e-02       1.038501889824e+04 
       6.806796623030e-02       1.014355895550e+04 
       7.019404127829e-02       9.861757177790e+03 
       7.253961342587e-02       9.534312863485e+03 
       7.509278904858e-02       9.157676153931e+03 
       7.782744566777e-02       8.734909449380e+03 
       8.070834095366e-02       8.275447951892e+03 
       8.369850884430e-02       7.795271045751e+03 
       8.676533532422e-02       7.312753734751e+03 
       8.988341123127e-02       6.846656517457e+03 
       9.303459767078e-02       6.412864831074e+03 
       9.620669004734e-02       6.022885891781e+03 
       9.939178858947e-02       5.683454046488e+03 
       1.025849046010e-01       5.396383381751e+03 
