# dimensionless total lensed [l(l+1)/2pi] C_l's
# for l=2 to 2500, i.e. number of multipoles equal to 2499
#
# -> if you prefer output in CAMB/HealPix/LensPix units/order, set 'format' to 'camb' in input file
# -> if you don't want to see such a header, set 'headers' to 'no' in input file
# -> for CMB lensing (phi), these are C_l^phi-phi for the lensing potential.
#    Remember the conversion factors:
#    C_l^dd (deflection) = l(l+1) C_l^phi-phi
#    C_l^gg (shear/convergence) = 1/4 (l(l+1))^2 C_l^phi-phi
#
# 1:l     2:TT                     3:EE                     4:TE                     5:BB                     6:phiphi                 7:TPhi                   8:Ephi               
   82       2.922423582341e-10       6.716456603042e-14      -1.590701705037e-12       2.753968695946e-16       1.685723905584e-11       2.112213959294e-12      -8.159915253168e-15 
   83       2.959030528556e-10       6.920616652360e-14      -1.668022473988e-12       2.821796307351e-16       1.635567629871e-11       2.060027453203e-12      -8.101712324024e-15 
   84       2.995966215897e-10       7.126015066942e-14      -1.746453956197e-12       2.890467333333e-16       1.587416369882e-11       2.009757063875e-12      -8.062358439066e-15 
   85       3.033231581789e-10       7.332488149699e-14      -1.825952924233e-12       2.959984724025e-16       1.541193640182e-11       1.961338899175e-12      -8.036907372404e-15 
   86       3.070824707794e-10       7.539867039691e-14      -1.906475079280e-12       3.030351641633e-16       1.496793359716e-11       1.914679722778e-12      -8.019822755289e-15 
   87       3.108740680847e-10       7.747977692932e-14      -1.987975079262e-12       3.101571466474e-16       1.454078702819e-11       1.869655793672e-12      -8.004959511403e-15 
   88       3.146971454500e-10       7.956640863200e-14      -2.070406566975e-12       3.173647803028e-16       1.412880950212e-11       1.826111705670e-12      -7.985545292139e-15 
   89       3.185508942385e-10       8.165674594454e-14      -2.153720746619e-12       3.246584370457e-16       1.373039671095e-11       1.783898787758e-12      -7.955633980302e-15 
   90       3.224355157204e-10       8.374902188009e-14      -2.237861796156e-12       3.320384641309e-16       1.334532997694e-11       1.742999738227e-12      -7.914767972130e-15 
   91       3.263513413967e-10       8.584145455607e-14      -2.322770783779e-12       3.395052157014e-16       1.297365764700e-11       1.703421494428e-12      -7.864016454059e-15 
   92       3.302985150273e-10       8.793222337223e-14      -2.408387061748e-12       3.470590642615e-16       1.261529474994e-11       1.665156852489e-12      -7.804571880756e-15 
   93       3.342769835980e-10       9.001946919509e-14      -2.494648272772e-12       3.547004011086e-16       1.227001769845e-11       1.628183899489e-12      -7.737753463865e-15 
   94       3.382864882863e-10       9.210129454217e-14      -2.581490356395e-12       3.624296367641e-16       1.193745899101e-11       1.592465445636e-12      -7.665010660755e-15 
   95       3.423265554283e-10       9.417576376639e-14      -2.668847555379e-12       3.702472014055e-16       1.161710191392e-11       1.557948456443e-12      -7.587926663259e-15 
